"State","Date","CasesPerDay","LogCasesRatio","anx","search","searchdiff","searchlogratio"
"AK","2020-05-10",1.57142857142857,-0.897941593205959,0.523529584680783,77,NA,NA
"AK","2020-05-17",2.42857142857143,0.435318071257845,0.375927751680405,83,6,0.0750351859429141
"AK","2020-05-24",1.71428571428571,-0.348306694268216,0.739108740514812,79,-4,-0.0493927553295765
"AK","2020-05-31",7.42857142857143,1.46633706879343,0.63218675260984,100,21,0.23572233352107
"AK","2020-06-07",12,0.479573080261886,0.52587583566463,97,-3,-0.0304592074847086
"AK","2020-06-14",16.7142857142857,0.331357135954443,1.22122186346115,95,-2,-0.020834086902842
"AK","2020-06-21",13.4285714285714,-0.218879152527752,0.909654136489386,67,-28,-0.349184272209575
"AK","2020-06-28",18.2857142857143,0.308735481649613,0.448657123486791,75,8,0.112795494145344
"AK","2020-07-05",36.4285714285714,0.689233281238809,0.424500601101667,78,3,0.0392207131532813
"AK","2020-07-12",48.7142857142857,0.290618932125091,0.414121240418152,73,-5,-0.0662493855412006
"AK","2020-07-19",56.4285714285714,0.147003287617605,0.410716333863651,76,3,0.0402738991379399
"AK","2020-07-26",92.8571428571429,0.498086597988561,0.421306385436489,100,24,0.27443684570176
"AK","2020-08-02",108,0.15106901328985,0.429794671665441,100,0,0
"AK","2020-08-09",61.5714285714286,-0.561933286075785,0.438282957894392,73,-27,-0.3147107448397
"AK","2020-08-16",78.2857142857143,0.240167196844268,0.446771244123344,69,-4,-0.0563529365511317
"AK","2020-08-23",68.8571428571429,-0.128331172897415,0.455259530352295,57,-12,-0.191055236762709
"AK","2020-08-30",69.2857142857143,0.00620477688688287,0.463747816581246,61,4,0.0678225963387611
"AK","2020-09-06",77,0.105566679971514,0.53015295622949,72,11,0.165792254842744
"AK","2020-09-13",73.2857142857143,-0.0494397257382276,0.60621090478095,66,-6,-0.0870113769896298
"AK","2020-09-20",79.7142857142857,0.0840831172105412,0.620038115155346,61,-5,-0.0787808778531143
"AK","2020-09-27",92.1428571428571,0.144891354414462,0.623493535833566,95,34,0.44300302742723
"AK","2020-10-04",132,0.359461754845912,0.659186961917943,80,-15,-0.171850256926659
"AK","2020-10-11",183,0.32668423025505,0.700253388903347,70,-10,-0.133531392624523
"AK","2020-10-18",184.857142857143,0.0100971731641116,0.676410883015526,75,5,0.0689928714869514
"AK","2020-10-25",290.285714285714,0.451282333637527,0.641750221648835,87,12,0.148420005118273
"AK","2020-11-01",372.857142857143,0.250329691618367,0.640936739086054,92,5,0.0558804583944566
"AK","2020-11-08",442,0.170114530816272,0.64576445299059,75,-17,-0.20430046351273
"AK","2020-11-15",563.714285714286,0.243237655449549,0.992589306489289,72,-3,-0.0408219945202552
"AK","2020-11-22",560.714285714286,-0.0053360563660518,1.39641368325368,80,8,0.105360515657826
"AK","2020-11-29",604.142857142857,0.0745992072559798,1.38730440076831,87,7,0.083881483980702
"AK","2020-12-06",700.571428571429,0.148085640143559,1.30937284174132,70,-17,-0.217412876605225
"AK","2020-12-13",574,-0.199266932241168,1.16708874760144,84,14,0.182321556793955
"AK","2020-12-20",382.142857142857,-0.406834886044773,1.01407923094274,71,-13,-0.168136921801998
"AK","2020-12-27",266.714285714286,-0.359616515788384,1.01255916591982,64,-7,-0.103796793681644
"AK","2021-01-03",324.571428571429,0.196327636299319,1.0362873428362,75,11,0.158605030176639
"AK","2021-01-10",296,-0.0921461764616683,1.06001551975257,93,18,0.215111379616945
"AK","2021-01-17",238.857142857143,-0.214493809734727,1.08374369666895,85,-8,-0.0899482366629395
"AK","2021-01-24",187.714285714286,-0.240944594600091,0.930580576027996,63,-22,-0.299516530098784
"AK","2021-01-31",141.142857142857,-0.285148501296688,0.747935572460823,71,8,0.119545150649783
"AK","2021-02-07",97.2857142857143,-0.372120391598355,0.7153508919272,75,4,0.054808236494995
"AK","2021-02-14",143.285714285714,0.387188481812423,0.707776265232501,72,-3,-0.0408219945202552
"AK","2021-02-21",130.857142857143,-0.0907344232878051,0.622524549752599,69,-3,-0.0425596144187959
"AK","2021-02-28",113,-0.146718396906476,0.524326652808496,51,-18,-0.302280871872934
"AK","2021-03-07",128.142857142857,0.125757894291142,0.615217131817824,61,10,0.179048231448985
"AK","2021-03-14",128.285714285714,0.00111420624340356,0.737622340152725,66,5,0.0787808778531144
"AK","2021-03-21",123,-0.0420755638744687,0.870812248007684,54,-12,-0.200670695462151
"AK","2021-03-28",152.142857142857,0.212635573715795,1.00579960578265,53,-1,-0.0186921330121525
"AL","2020-05-10",322.428571428571,0.582131440852616,1.05369110111855,55,NA,NA
"AL","2020-05-17",232.285714285714,-0.32791348670978,0.747410525933305,55,0,0
"AL","2020-05-24",424.285714285714,0.602438941688989,0.556915740715957,50,-5,-0.0953101798043249
"AL","2020-05-31",500.571428571429,0.165343220259537,0.49658419173686,50,0,0
"AL","2020-06-07",322.142857142857,-0.440755200119503,0.661156859616795,48,-2,-0.0408219945202552
"AL","2020-06-14",826.714285714286,0.94246404963706,0.809804845377975,38,-10,-0.233614851181505
"AL","2020-06-21",533.428571428571,-0.438133977472171,0.564173733072009,42,4,0.100083458556983
"AL","2020-06-28",904.142857142857,0.527662200673637,0.527865225292836,51,9,0.194156014440957
"AL","2020-07-05",1222.71428571429,0.301841115106304,0.479074427523183,61,10,0.179048231448985
"AL","2020-07-12",1239.71428571429,0.0138077264766864,0.483573730072111,60,-1,-0.0165293019512106
"AL","2020-07-19",1917.71428571429,0.436253062348691,0.663605869502152,52,-8,-0.143100843640673
