"State","hitdiffs","date_end","anxdiffs"
"AR",-3,2021-01-03,0.128195851958944
"AR",5,2021-01-10,0.128195851958943
"AR",-14,2021-01-17,0.128195851958946
"AR",5,2021-01-24,-0.09110427783811
"AR",-9,2021-01-31,-0.127654299470949
"AR",2,2021-02-07,-0.001943396862362
"AR",-17,2021-02-14,0.01900842023907
"AR",-12,2021-02-21,0.499687527162421
"AR",16,2021-02-28,0.57980071164964
"AR",-7,2021-03-07,-0.43351315568477
"AR",9,2021-03-14,-0.60239880024051
"AR",-8,2021-03-21,-0.141861585360027
"AR",-3,2021-03-28,-0.0651053828799451
"AZ",6,2020-05-17,-0.226138727168619
"AZ",-11,2020-05-24,-0.147325379669632
"AZ",-2,2020-05-31,-0.196072074762807
"AZ",13,2020-06-07,0.0294859057674851
"AZ",5,2020-06-14,-0.091991205256117
"AZ",19,2020-06-21,0.311254853643635
"AZ",0,2020-06-28,0.160021079176797
"AZ",0,2020-07-05,-0.139480485302177
"AZ",-15,2020-07-12,0.377108534560555
"AZ",-20,2020-07-19,0.41380359654645
"AZ",1,2020-07-26,-0.01660107069961
"AZ",-3,2020-08-02,-0.15748586773063
"AZ",-20,2020-08-09,-0.15748586773063
"AZ",-1,2020-08-16,-0.15748586773063
"AZ",-2,2020-08-23,-0.157485867730629
"AZ",-2,2020-08-30,-0.15748586773063
"AZ",12,2020-09-06,-0.083820847835444
"AZ",1,2020-09-13,-0.07154334451958
"AZ",-5,2020-09-20,0.063237838813776
"AZ",0,2020-09-27,0.0857013693693339
"AZ",1,2020-10-04,0.0133001785638921
"AZ",-4,2020-10-11,0.00123331342965094
"AZ",-1,2020-10-18,0.087308565982778
"AZ",7,2020-10-25,0.1016544414083
"AZ",3,2020-11-01,0.117016637189712
"AZ",1,2020-11-08,0.11957700315328
"AZ",-13,2020-11-15,0.01769566332759
"AZ",17,2020-11-22,0.00071544002330004
"AZ",15,2020-11-29,-0.11747934319996
"AZ",-2,2020-12-06,-0.137178473737175
"AZ",17,2020-12-13,-0.00932743951767001
"AZ",-8,2020-12-20,0.0119810661855799
"AZ",10,2020-12-27,-0.030448625011953
"AZ",9,2021-01-03,-0.037520240211541
"AZ",-4,2021-01-10,-0.037520240211541
"AZ",2,2021-01-17,-0.037520240211542
"AZ",-5,2021-01-24,0.017226398737306
"AZ",-16,2021-01-31,0.026350838562113
"AZ",9,2021-02-07,0.018833749322982
"AZ",-21,2021-02-14,0.01758090111646
"AZ",-10,2021-02-21,-0.113543421694253
"AZ",2,2021-02-28,-0.135397475496037
"AZ",8,2021-03-07,0.097634834113594
"AZ",-6,2021-03-14,0.136473552381865
"AZ",-6,2021-03-21,0.018841760727262
"AZ",23,2021-03-28,-0.000763537881839027
"CA",6,2020-05-17,0.0778759910116821
"CA",-3,2020-05-24,-0.118298251995635
"CA",-4,2020-05-31,0.087783413991082
"CA",-5,2020-06-07,0.0229589614619939
"CA",-1,2020-06-14,-0.00567353938366699
"CA",-8,2020-06-21,0.031007381401442
"CA",15,2020-06-28,-0.167073736258681
"CA",9,2020-07-05,0.012740278107063
"CA",-4,2020-07-12,0.265092325195748
"CA",-9,2020-07-19,0.0773473076161699
"CA",3,2020-07-26,-0.053388076380786
"CA",2,2020-08-02,-0.066200486732536
"CA",-22,2020-08-09,-0.066200486732536
"CA",-4,2020-08-16,-0.066200486732536
"CA",-2,2020-08-23,-0.066200486732536
