"location","hits","keyword","geo","gprop","date_end"
"Colorado",75,"covid","US","web","2020-05-24"
"Washington",73,"covid","US","web","2020-05-24"
"Oregon",73,"covid","US","web","2020-05-24"
"Nebraska",72,"covid","US","web","2020-05-24"
"Connecticut",72,"covid","US","web","2020-05-24"
"Pennsylvania",71,"covid","US","web","2020-05-24"
"New Jersey",70,"covid","US","web","2020-05-24"
"California",70,"covid","US","web","2020-05-24"
"Maryland",69,"covid","US","web","2020-05-24"
"Michigan",69,"covid","US","web","2020-05-24"
"North Dakota",68,"covid","US","web","2020-05-24"
"Virginia",68,"covid","US","web","2020-05-24"
"Arizona",65,"covid","US","web","2020-05-24"
"Hawaii",64,"covid","US","web","2020-05-24"
"Utah",64,"covid","US","web","2020-05-24"
"Idaho",63,"covid","US","web","2020-05-24"
"Kansas",62,"covid","US","web","2020-05-24"
"Delaware",62,"covid","US","web","2020-05-24"
"New York",61,"covid","US","web","2020-05-24"
"West Virginia",60,"covid","US","web","2020-05-24"
"Arkansas",60,"covid","US","web","2020-05-24"
"Kentucky",59,"covid","US","web","2020-05-24"
"Missouri",59,"covid","US","web","2020-05-24"
"Nevada",59,"covid","US","web","2020-05-24"
"Indiana",58,"covid","US","web","2020-05-24"
"North Carolina",57,"covid","US","web","2020-05-24"
"Ohio",57,"covid","US","web","2020-05-24"
"Texas",56,"covid","US","web","2020-05-24"
"Oklahoma",55,"covid","US","web","2020-05-24"
"Tennessee",54,"covid","US","web","2020-05-24"
"Wyoming",53,"covid","US","web","2020-05-24"
"Florida",53,"covid","US","web","2020-05-24"
"Georgia",53,"covid","US","web","2020-05-24"
"Alabama",50,"covid","US","web","2020-05-24"
"South Carolina",46,"covid","US","web","2020-05-24"
"Mississippi",44,"covid","US","web","2020-05-24"
"Louisiana",43,"covid","US","web","2020-05-24"
"Alaska",100,"covid","US","web","2020-05-31"
"South Dakota",97,"covid","US","web","2020-05-31"
"Vermont",93,"covid","US","web","2020-05-31"
"Montana",85,"covid","US","web","2020-05-31"
"New Hampshire",82,"covid","US","web","2020-05-31"
"New Mexico",80,"covid","US","web","2020-05-31"
"Maine",76,"covid","US","web","2020-05-31"
"Minnesota",74,"covid","US","web","2020-05-31"
"Massachusetts",73,"covid","US","web","2020-05-31"
"Nebraska",73,"covid","US","web","2020-05-31"
"Wisconsin",73,"covid","US","web","2020-05-31"
"Iowa",72,"covid","US","web","2020-05-31"
"Colorado",72,"covid","US","web","2020-05-31"
"Illinois",71,"covid","US","web","2020-05-31"
"Oregon",71,"covid","US","web","2020-05-31"
"Washington",69,"covid","US","web","2020-05-31"
"Rhode Island",68,"covid","US","web","2020-05-31"
"Hawaii",67,"covid","US","web","2020-05-31"
"Maryland",67,"covid","US","web","2020-05-31"
"New Jersey",67,"covid","US","web","2020-05-31"
"Virginia",66,"covid","US","web","2020-05-31"
"California",66,"covid","US","web","2020-05-31"
"Utah",66,"covid","US","web","2020-05-31"
"Wyoming",65,"covid","US","web","2020-05-31"
"Michigan",65,"covid","US","web","2020-05-31"
"Arkansas",65,"covid","US","web","2020-05-31"
"Kansas",64,"covid","US","web","2020-05-31"
"Pennsylvania",64,"covid","US","web","2020-05-31"
"Arizona",63,"covid","US","web","2020-05-31"
"Connecticut",63,"covid","US","web","2020-05-31"
"Missouri",61,"covid","US","web","2020-05-31"
"North Dakota",60,"covid","US","web","2020-05-31"
"North Carolina",60,"covid","US","web","2020-05-31"
"New York",60,"covid","US","web","2020-05-31"
"West Virginia",60,"covid","US","web","2020-05-31"
"Tennessee",57,"covid","US","web","2020-05-31"
"Delaware",56,"covid","US","web","2020-05-31"
"Indiana",55,"covid","US","web","2020-05-31"
"Nevada",55,"covid","US","web","2020-05-31"
"Ohio",55,"covid","US","web","2020-05-31"
"Idaho",54,"covid","US","web","2020-05-31"
"Kentucky",53,"covid","US","web","2020-05-31"
"Georgia",52,"covid","US","web","2020-05-31"
"South Carolina",51,"covid","US","web","2020-05-31"
"Oklahoma",51,"covid","US","web","2020-05-31"
"Texas",51,"covid","US","web","2020-05-31"
"Alabama",50,"covid","US","web","2020-05-31"
"Florida",50,"covid","US","web","2020-05-31"
"Mississippi",45,"covid","US","web","2020-05-31"
"Louisiana",43,"covid","US","web","2020-05-31"
"Vermont",100,"covid","US","web","2020-06-07"
"Alaska",97,"covid","US","web","2020-06-07"
"Montana",95,"covid","US","web","2020-06-07"
"South Dakota",94,"covid","US","web","2020-06-07"
"Minnesota",85,"covid","US","web","2020-06-07"
"New Hampshire",82,"covid","US","web","2020-06-07"
"Maine",78,"covid","US","web","2020-06-07"
"New Mexico",77,"covid","US","web","2020-06-07"
"Arizona",76,"covid","US","web","2020-06-07"
"Massachusetts",75,"covid","US","web","2020-06-07"
"Utah",73,"covid","US","web","2020-06-07"
"Hawaii",72,"covid","US","web","2020-06-07"
"Washington",71,"covid","US","web","2020-06-07"
"Colorado",70,"covid","US","web","2020-06-07"
"Wisconsin",70,"covid","US","web","2020-06-07"
"Iowa",68,"covid","US","web","2020-06-07"
"Nebraska",67,"covid","US","web","2020-06-07"
"Maryland",66,"covid","US","web","2020-06-07"
"Rhode Island",66,"covid","US","web","2020-06-07"
"Virginia",65,"covid","US","web","2020-06-07"
"North Dakota",65,"covid","US","web","2020-06-07"
"Arkansas",64,"covid","US","web","2020-06-07"
"Illinois",64,"covid","US","web","2020-06-07"
"Connecticut",64,"covid","US","web","2020-06-07"
"Oregon",63,"covid","US","web","2020-06-07"
"Michigan",62,"covid","US","web","2020-06-07"
"New Jersey",62,"covid","US","web","2020-06-07"
"Kentucky",61,"covid","US","web","2020-06-07"
"California",61,"covid","US","web","2020-06-07"
"Wyoming",60,"covid","US","web","2020-06-07"
"Kansas",60,"covid","US","web","2020-06-07"
"Pennsylvania",58,"covid","US","web","2020-06-07"
"North Carolina",58,"covid","US","web","2020-06-07"
"Idaho",56,"covid","US","web","2020-06-07"
"Missouri",56,"covid","US","web","2020-06-07"
"Indiana",55,"covid","US","web","2020-06-07"
"Texas",55,"covid","US","web","2020-06-07"
"Delaware",54,"covid","US","web","2020-06-07"
"South Carolina",53,"covid","US","web","2020-06-07"
"West Virginia",53,"covid","US","web","2020-06-07"
"Tennessee",53,"covid","US","web","2020-06-07"
"Florida",52,"covid","US","web","2020-06-07"
"Georgia",52,"covid","US","web","2020-06-07"
"New York",52,"covid","US","web","2020-06-07"
"Ohio",52,"covid","US","web","2020-06-07"
"Mississippi",51,"covid","US","web","2020-06-07"
"Alabama",48,"covid","US","web","2020-06-07"
"Oklahoma",48,"covid","US","web","2020-06-07"
"Nevada",48,"covid","US","web","2020-06-07"
"Louisiana",34,"covid","US","web","2020-06-07"
"Vermont",100,"covid","US","web","2020-06-14"
"Alaska",95,"covid","US","web","2020-06-14"
"Arizona",81,"covid","US","web","2020-06-14"
"Montana",76,"covid","US","web","2020-06-14"
"New Hampshire",71,"covid","US","web","2020-06-14"
"Utah",68,"covid","US","web","2020-06-14"
"Minnesota",65,"covid","US","web","2020-06-14"
"South Dakota",64,"covid","US","web","2020-06-14"
"Oregon",63,"covid","US","web","2020-06-14"
"Iowa",63,"covid","US","web","2020-06-14"
"Maine",63,"covid","US","web","2020-06-14"
"Massachusetts",63,"covid","US","web","2020-06-14"
"Washington",60,"covid","US","web","2020-06-14"
"California",60,"covid","US","web","2020-06-14"
"Hawaii",60,"covid","US","web","2020-06-14"
"Wisconsin",59,"covid","US","web","2020-06-14"
"Arkansas",58,"covid","US","web","2020-06-14"
"New Mexico",58,"covid","US","web","2020-06-14"
"Illinois",58,"covid","US","web","2020-06-14"
"Texas",57,"covid","US","web","2020-06-14"
"Rhode Island",57,"covid","US","web","2020-06-14"
"Connecticut",56,"covid","US","web","2020-06-14"
"South Carolina",55,"covid","US","web","2020-06-14"
"Colorado",55,"covid","US","web","2020-06-14"
"Maryland",54,"covid","US","web","2020-06-14"
"Wyoming",54,"covid","US","web","2020-06-14"
"New Jersey",52,"covid","US","web","2020-06-14"
"Pennsylvania",52,"covid","US","web","2020-06-14"
"North Carolina",52,"covid","US","web","2020-06-14"
"Idaho",52,"covid","US","web","2020-06-14"
"Virginia",51,"covid","US","web","2020-06-14"
"Michigan",50,"covid","US","web","2020-06-14"
"Nebraska",48,"covid","US","web","2020-06-14"
"New York",48,"covid","US","web","2020-06-14"
"Florida",47,"covid","US","web","2020-06-14"
"Missouri",47,"covid","US","web","2020-06-14"
"Oklahoma",47,"covid","US","web","2020-06-14"
"Kansas",47,"covid","US","web","2020-06-14"
"Delaware",46,"covid","US","web","2020-06-14"
"Kentucky",46,"covid","US","web","2020-06-14"
"Tennessee",46,"covid","US","web","2020-06-14"
"Indiana",45,"covid","US","web","2020-06-14"
"West Virginia",44,"covid","US","web","2020-06-14"
"Nevada",44,"covid","US","web","2020-06-14"
"Georgia",44,"covid","US","web","2020-06-14"
"Ohio",43,"covid","US","web","2020-06-14"
"North Dakota",40,"covid","US","web","2020-06-14"
"Mississippi",38,"covid","US","web","2020-06-14"
"Alabama",38,"covid","US","web","2020-06-14"
"Louisiana",31,"covid","US","web","2020-06-14"
"Arizona",100,"covid","US","web","2020-06-21"
"Vermont",74,"covid","US","web","2020-06-21"
"Montana",70,"covid","US","web","2020-06-21"
"Texas",68,"covid","US","web","2020-06-21"
"Alaska",67,"covid","US","web","2020-06-21"
"South Carolina",62,"covid","US","web","2020-06-21"
"Hawaii",62,"covid","US","web","2020-06-21"
"Oklahoma",62,"covid","US","web","2020-06-21"
"Florida",60,"covid","US","web","2020-06-21"
"Utah",59,"covid","US","web","2020-06-21"
"South Dakota",57,"covid","US","web","2020-06-21"
"Oregon",57,"covid","US","web","2020-06-21"
"Arkansas",56,"covid","US","web","2020-06-21"
"Minnesota",56,"covid","US","web","2020-06-21"
"Maine",53,"covid","US","web","2020-06-21"
"Iowa",53,"covid","US","web","2020-06-21"
"Washington",52,"covid","US","web","2020-06-21"
"Massachusetts",52,"covid","US","web","2020-06-21"
"California",52,"covid","US","web","2020-06-21"
"Wisconsin",52,"covid","US","web","2020-06-21"
"Idaho",51,"covid","US","web","2020-06-21"
"Wyoming",50,"covid","US","web","2020-06-21"
"Illinois",49,"covid","US","web","2020-06-21"
"New Mexico",49,"covid","US","web","2020-06-21"
"West Virginia",49,"covid","US","web","2020-06-21"
"Connecticut",49,"covid","US","web","2020-06-21"
"New Hampshire",49,"covid","US","web","2020-06-21"
"North Carolina",48,"covid","US","web","2020-06-21"
"Colorado",48,"covid","US","web","2020-06-21"
"Rhode Island",47,"covid","US","web","2020-06-21"
"Pennsylvania",45,"covid","US","web","2020-06-21"
"Michigan",45,"covid","US","web","2020-06-21"
"Kentucky",45,"covid","US","web","2020-06-21"
"New Jersey",44,"covid","US","web","2020-06-21"
"Missouri",44,"covid","US","web","2020-06-21"
"Kansas",44,"covid","US","web","2020-06-21"
"Tennessee",43,"covid","US","web","2020-06-21"
"Virginia",43,"covid","US","web","2020-06-21"
"Nevada",43,"covid","US","web","2020-06-21"
"Georgia",43,"covid","US","web","2020-06-21"
"Alabama",42,"covid","US","web","2020-06-21"
"North Dakota",41,"covid","US","web","2020-06-21"
"New York",41,"covid","US","web","2020-06-21"
"Maryland",41,"covid","US","web","2020-06-21"
"Ohio",41,"covid","US","web","2020-06-21"
"Nebraska",41,"covid","US","web","2020-06-21"
"Delaware",39,"covid","US","web","2020-06-21"
"Louisiana",38,"covid","US","web","2020-06-21"
"Indiana",38,"covid","US","web","2020-06-21"
"Mississippi",33,"covid","US","web","2020-06-21"
"Arizona",100,"covid","US","web","2020-06-28"
"Texas",99,"covid","US","web","2020-06-28"
"Florida",84,"covid","US","web","2020-06-28"
"Montana",82,"covid","US","web","2020-06-28"
"Utah",80,"covid","US","web","2020-06-28"
"Vermont",77,"covid","US","web","2020-06-28"
"Alaska",75,"covid","US","web","2020-06-28"
"South Carolina",72,"covid","US","web","2020-06-28"
"Idaho",70,"covid","US","web","2020-06-28"
"Iowa",68,"covid","US","web","2020-06-28"
"Washington",67,"covid","US","web","2020-06-28"
"California",67,"covid","US","web","2020-06-28"
"Wyoming",66,"covid","US","web","2020-06-28"
"Oregon",65,"covid","US","web","2020-06-28"
"New Mexico",64,"covid","US","web","2020-06-28"
"Minnesota",64,"covid","US","web","2020-06-28"
"Arkansas",63,"covid","US","web","2020-06-28"
"Georgia",62,"covid","US","web","2020-06-28"
"Nevada",61,"covid","US","web","2020-06-28"
"Kansas",61,"covid","US","web","2020-06-28"
"Oklahoma",60,"covid","US","web","2020-06-28"
"Hawaii",60,"covid","US","web","2020-06-28"
"Illinois",60,"covid","US","web","2020-06-28"
"Wisconsin",59,"covid","US","web","2020-06-28"
"North Carolina",59,"covid","US","web","2020-06-28"
"West Virginia",58,"covid","US","web","2020-06-28"
"Colorado",58,"covid","US","web","2020-06-28"
"Massachusetts",57,"covid","US","web","2020-06-28"
"South Dakota",57,"covid","US","web","2020-06-28"
"Maine",57,"covid","US","web","2020-06-28"
"Connecticut",56,"covid","US","web","2020-06-28"
"Tennessee",55,"covid","US","web","2020-06-28"
"Michigan",55,"covid","US","web","2020-06-28"
"Virginia",55,"covid","US","web","2020-06-28"
"Missouri",55,"covid","US","web","2020-06-28"
"Nebraska",54,"covid","US","web","2020-06-28"
"Pennsylvania",54,"covid","US","web","2020-06-28"
"Louisiana",54,"covid","US","web","2020-06-28"
"Rhode Island",53,"covid","US","web","2020-06-28"
"Ohio",52,"covid","US","web","2020-06-28"
"New Hampshire",52,"covid","US","web","2020-06-28"
"New Jersey",52,"covid","US","web","2020-06-28"
"Maryland",51,"covid","US","web","2020-06-28"
"Alabama",51,"covid","US","web","2020-06-28"
"Kentucky",50,"covid","US","web","2020-06-28"
"Delaware",48,"covid","US","web","2020-06-28"
"New York",47,"covid","US","web","2020-06-28"
"Indiana",46,"covid","US","web","2020-06-28"
"Mississippi",43,"covid","US","web","2020-06-28"
"North Dakota",39,"covid","US","web","2020-06-28"
"Arizona",100,"covid","US","web","2020-07-05"
"Montana",97,"covid","US","web","2020-07-05"
"Texas",92,"covid","US","web","2020-07-05"
"Florida",81,"covid","US","web","2020-07-05"
"Vermont",80,"covid","US","web","2020-07-05"
"Alaska",78,"covid","US","web","2020-07-05"
"California",76,"covid","US","web","2020-07-05"
"Oregon",75,"covid","US","web","2020-07-05"
"Idaho",74,"covid","US","web","2020-07-05"
"Iowa",74,"covid","US","web","2020-07-05"
"Nevada",72,"covid","US","web","2020-07-05"
"Kansas",70,"covid","US","web","2020-07-05"
"Oklahoma",69,"covid","US","web","2020-07-05"
"New Mexico",68,"covid","US","web","2020-07-05"
"Georgia",68,"covid","US","web","2020-07-05"
"Tennessee",68,"covid","US","web","2020-07-05"
"South Carolina",67,"covid","US","web","2020-07-05"
"Utah",67,"covid","US","web","2020-07-05"
"Wisconsin",67,"covid","US","web","2020-07-05"
"Maine",66,"covid","US","web","2020-07-05"
"Minnesota",66,"covid","US","web","2020-07-05"
"Delaware",66,"covid","US","web","2020-07-05"
"Colorado",64,"covid","US","web","2020-07-05"
"West Virginia",64,"covid","US","web","2020-07-05"
"Pennsylvania",64,"covid","US","web","2020-07-05"
"Hawaii",63,"covid","US","web","2020-07-05"
"Washington",63,"covid","US","web","2020-07-05"
"Massachusetts",63,"covid","US","web","2020-07-05"
"Arkansas",62,"covid","US","web","2020-07-05"
"Michigan",62,"covid","US","web","2020-07-05"
"Ohio",61,"covid","US","web","2020-07-05"
"Alabama",61,"covid","US","web","2020-07-05"
"Illinois",61,"covid","US","web","2020-07-05"
"Missouri",61,"covid","US","web","2020-07-05"
"New Hampshire",59,"covid","US","web","2020-07-05"
"Wyoming",59,"covid","US","web","2020-07-05"
"Louisiana",59,"covid","US","web","2020-07-05"
"North Carolina",58,"covid","US","web","2020-07-05"
"South Dakota",57,"covid","US","web","2020-07-05"
"New Jersey",57,"covid","US","web","2020-07-05"
"Connecticut",57,"covid","US","web","2020-07-05"
"Virginia",56,"covid","US","web","2020-07-05"
"Nebraska",56,"covid","US","web","2020-07-05"
"North Dakota",55,"covid","US","web","2020-07-05"
"Indiana",54,"covid","US","web","2020-07-05"
"Maryland",54,"covid","US","web","2020-07-05"
"Rhode Island",53,"covid","US","web","2020-07-05"
"Kentucky",51,"covid","US","web","2020-07-05"
"New York",48,"covid","US","web","2020-07-05"
"Mississippi",46,"covid","US","web","2020-07-05"
"Montana",100,"covid","US","web","2020-07-12"
"Arizona",85,"covid","US","web","2020-07-12"
"New Mexico",84,"covid","US","web","2020-07-12"
"Vermont",81,"covid","US","web","2020-07-12"
"Florida",79,"covid","US","web","2020-07-12"
"West Virginia",79,"covid","US","web","2020-07-12"
"Texas",78,"covid","US","web","2020-07-12"
"Hawaii",78,"covid","US","web","2020-07-12"
"Idaho",77,"covid","US","web","2020-07-12"
"Tennessee",76,"covid","US","web","2020-07-12"
"Georgia",76,"covid","US","web","2020-07-12"
"Alaska",73,"covid","US","web","2020-07-12"
"Utah",73,"covid","US","web","2020-07-12"
"Wisconsin",72,"covid","US","web","2020-07-12"
"California",72,"covid","US","web","2020-07-12"
"Kansas",71,"covid","US","web","2020-07-12"
"Oregon",71,"covid","US","web","2020-07-12"
"Arkansas",70,"covid","US","web","2020-07-12"
"Minnesota",70,"covid","US","web","2020-07-12"
"Colorado",69,"covid","US","web","2020-07-12"
"Ohio",69,"covid","US","web","2020-07-12"
"Nevada",69,"covid","US","web","2020-07-12"
"Missouri",69,"covid","US","web","2020-07-12"
"Washington",68,"covid","US","web","2020-07-12"
"Iowa",67,"covid","US","web","2020-07-12"
"Oklahoma",67,"covid","US","web","2020-07-12"
"South Carolina",66,"covid","US","web","2020-07-12"
"Illinois",66,"covid","US","web","2020-07-12"
"Nebraska",64,"covid","US","web","2020-07-12"
"Kentucky",64,"covid","US","web","2020-07-12"
"Michigan",64,"covid","US","web","2020-07-12"
"North Dakota",64,"covid","US","web","2020-07-12"
"South Dakota",62,"covid","US","web","2020-07-12"
"Massachusetts",62,"covid","US","web","2020-07-12"
"Louisiana",61,"covid","US","web","2020-07-12"
"Pennsylvania",60,"covid","US","web","2020-07-12"
"Alabama",60,"covid","US","web","2020-07-12"
"Rhode Island",60,"covid","US","web","2020-07-12"
"Delaware",60,"covid","US","web","2020-07-12"
"Maine",59,"covid","US","web","2020-07-12"
"Wyoming",58,"covid","US","web","2020-07-12"
"North Carolina",58,"covid","US","web","2020-07-12"
"Connecticut",58,"covid","US","web","2020-07-12"
"Virginia",57,"covid","US","web","2020-07-12"
"Maryland",57,"covid","US","web","2020-07-12"
"New Hampshire",55,"covid","US","web","2020-07-12"
"New Jersey",55,"covid","US","web","2020-07-12"
"Indiana",55,"covid","US","web","2020-07-12"
"Mississippi",54,"covid","US","web","2020-07-12"
"New York",47,"covid","US","web","2020-07-12"
"Montana",100,"covid","US","web","2020-07-19"
"Vermont",84,"covid","US","web","2020-07-19"
"Alaska",76,"covid","US","web","2020-07-19"
"Idaho",74,"covid","US","web","2020-07-19"
"New Mexico",70,"covid","US","web","2020-07-19"
"Wisconsin",67,"covid","US","web","2020-07-19"
"Minnesota",66,"covid","US","web","2020-07-19"
"Hawaii",66,"covid","US","web","2020-07-19"
"Florida",65,"covid","US","web","2020-07-19"
"Arizona",65,"covid","US","web","2020-07-19"
"Utah",63,"covid","US","web","2020-07-19"
"California",63,"covid","US","web","2020-07-19"
"Ohio",63,"covid","US","web","2020-07-19"
"Colorado",62,"covid","US","web","2020-07-19"
"Oklahoma",62,"covid","US","web","2020-07-19"
"Tennessee",62,"covid","US","web","2020-07-19"
"Texas",62,"covid","US","web","2020-07-19"
"Illinois",62,"covid","US","web","2020-07-19"
"Oregon",61,"covid","US","web","2020-07-19"
"Iowa",61,"covid","US","web","2020-07-19"
"Nevada",60,"covid","US","web","2020-07-19"
"Georgia",60,"covid","US","web","2020-07-19"
"Nebraska",59,"covid","US","web","2020-07-19"
"Missouri",59,"covid","US","web","2020-07-19"
"Washington",58,"covid","US","web","2020-07-19"
"West Virginia",57,"covid","US","web","2020-07-19"
"Arkansas",57,"covid","US","web","2020-07-19"
"Kansas",57,"covid","US","web","2020-07-19"
"Massachusetts",56,"covid","US","web","2020-07-19"
"South Dakota",56,"covid","US","web","2020-07-19"
"Indiana",56,"covid","US","web","2020-07-19"
"Rhode Island",56,"covid","US","web","2020-07-19"
"New Hampshire",56,"covid","US","web","2020-07-19"
"Michigan",55,"covid","US","web","2020-07-19"
"Maine",55,"covid","US","web","2020-07-19"
"Pennsylvania",55,"covid","US","web","2020-07-19"
"North Dakota",54,"covid","US","web","2020-07-19"
"Wyoming",54,"covid","US","web","2020-07-19"
"North Carolina",54,"covid","US","web","2020-07-19"
"Virginia",54,"covid","US","web","2020-07-19"
"Maryland",53,"covid","US","web","2020-07-19"
"Kentucky",53,"covid","US","web","2020-07-19"
"South Carolina",53,"covid","US","web","2020-07-19"
"Alabama",52,"covid","US","web","2020-07-19"
"Louisiana",51,"covid","US","web","2020-07-19"
"Connecticut",50,"covid","US","web","2020-07-19"
"Delaware",50,"covid","US","web","2020-07-19"
"New Jersey",49,"covid","US","web","2020-07-19"
"Mississippi",46,"covid","US","web","2020-07-19"
"New York",45,"covid","US","web","2020-07-19"
"Alaska",100,"covid","US","web","2020-07-26"
"Montana",94,"covid","US","web","2020-07-26"
"Vermont",80,"covid","US","web","2020-07-26"
"Wisconsin",77,"covid","US","web","2020-07-26"
"Idaho",77,"covid","US","web","2020-07-26"
"Minnesota",74,"covid","US","web","2020-07-26"
"Rhode Island",73,"covid","US","web","2020-07-26"
"Kentucky",72,"covid","US","web","2020-07-26"
"Nevada",71,"covid","US","web","2020-07-26"
"Florida",70,"covid","US","web","2020-07-26"
"Ohio",70,"covid","US","web","2020-07-26"
"Illinois",70,"covid","US","web","2020-07-26"
"New Hampshire",69,"covid","US","web","2020-07-26"
"Wyoming",68,"covid","US","web","2020-07-26"
"Iowa",68,"covid","US","web","2020-07-26"
"Colorado",68,"covid","US","web","2020-07-26"
"Massachusetts",68,"covid","US","web","2020-07-26"
"Oklahoma",67,"covid","US","web","2020-07-26"
"Missouri",67,"covid","US","web","2020-07-26"
"New Mexico",67,"covid","US","web","2020-07-26"
"Washington",67,"covid","US","web","2020-07-26"
"Oregon",67,"covid","US","web","2020-07-26"
