"","State","EndofWeek","Cases","LogRatio"
"2173","NY",2021-03-21,6392.85714285714,-0.0729388931971862
"2174","NY",2021-03-28,9150.28571428571,0.358603808739366
"2175","NY",2021-04-04,7591.57142857143,-0.18674649508959
"2176","NY",2021-04-11,6682,-0.127621265380762
"2177","OH",2020-01-26,0,NA
"2178","OH",2020-02-02,0,NA
"2179","OH",2020-02-09,0,NA
"2180","OH",2020-02-16,0,NA
"2181","OH",2020-02-23,0,NA
"2182","OH",2020-03-01,0,NA
"2183","OH",2020-03-08,0,NA
"2184","OH",2020-03-15,5.28571428571429,NA
"2185","OH",2020-03-22,44.8571428571429,2.13847507326403
"2186","OH",2020-03-29,186,1.42226383686026
"2187","OH",2020-04-05,341.428571428571,0.607391822157042
"2188","OH",2020-04-12,353.571428571429,0.0349470300772342
"2189","OH",2020-04-19,726.285714285714,0.719857957306554
"2190","OH",2020-04-26,623,-0.153396964466578
"2191","OH",2020-05-03,564.428571428571,-0.0987326774313757
"2192","OH",2020-05-10,595.285714285714,0.0532276410110627
"2193","OH",2020-05-17,548.857142857143,-0.0812032880939515
"2194","OH",2020-05-24,569.714285714286,0.0372967877532269
"2195","OH",2020-05-31,514.571428571429,-0.101800605345828
"2196","OH",2020-06-07,423.285714285714,-0.195286978162336
"2197","OH",2020-06-14,381.714285714286,-0.103375012917029
"2198","OH",2020-06-21,522.857142857143,0.314635891738876
"2199","OH",2020-06-28,785.857142857143,0.407466746480046
"2200","OH",2020-07-05,977.428571428571,0.218150192662092
"2201","OH",2020-07-12,1205.85714285714,0.21002069844617
"2202","OH",2020-07-19,1334.28571428571,0.101205467239168
"2203","OH",2020-07-26,1305.85714285714,-0.0215364635690695
"2204","OH",2020-08-02,1279.71428571429,-0.0202228008865733
"2205","OH",2020-08-09,1116.71428571429,-0.136246138546915
"2206","OH",2020-08-16,1062.71428571429,-0.0495644180289891
"2207","OH",2020-08-23,930.714285714286,-0.132629220632396
"2208","OH",2020-08-30,1065.71428571429,0.135448203638861
"2209","OH",2020-09-06,1185.14285714286,0.106218056711557
"2210","OH",2020-09-13,978.142857142857,-0.1919628707883
"2211","OH",2020-09-20,986.285714285714,0.00829035364220112
"2212","OH",2020-09-27,928.571428571429,-0.0602987768795355
"2213","OH",2020-10-04,1156.85714285714,0.219814940708378
"2214","OH",2020-10-11,1406,0.195041824833817
"2215","OH",2020-10-18,1862.57142857143,0.281209228058561
"2216","OH",2020-10-25,2332.57142857143,0.225013255005196
"2217","OH",2020-11-01,2983.57142857143,0.246149772441595
"2218","OH",2020-11-08,4466.85714285714,0.403564012408945
"2219","OH",2020-11-15,6832.57142857143,0.425016031699249
"2220","OH",2020-11-22,7617.57142857143,0.108756515736428
"2221","OH",2020-11-29,9001.85714285714,0.166973296517052
"2222","OH",2020-12-06,8656,-0.0391781831513738
"2223","OH",2020-12-13,12529,0.36979323515929
"2224","OH",2020-12-20,8582.71428571429,-0.378295743475405
"2225","OH",2020-12-27,6817,-0.230330721407362
"2226","OH",2021-01-03,7279.42857142857,0.065632873811579
"2227","OH",2021-01-10,7940.57142857143,0.086932874811154
"2228","OH",2021-01-17,7098.42857142857,-0.112111809420567
"2229","OH",2021-01-24,5366.85714285714,-0.279630956432496
"2230","OH",2021-01-31,4495.71428571429,-0.177117913129316
"2231","OH",2021-02-07,3489.28571428571,-0.253427513147469
"2232","OH",2021-02-14,2733.28571428571,-0.244192605025981
"2233","OH",2021-02-21,2059.57142857143,-0.283006527073099
"2234","OH",2021-02-28,1950.71428571429,-0.0543023109040983
"2235","OH",2021-03-07,1578.42857142857,-0.21176582879463
"2236","OH",2021-03-14,1531.42857142857,-0.030228770488382
"2237","OH",2021-03-21,1508.42857142857,-0.0151325788182786
"2238","OH",2021-03-28,1696,0.117204109600647
"2239","OH",2021-04-04,1769.85714285714,0.0426262957085771
"2240","OH",2021-04-11,2284.33333333333,0.255175390857288
"2241","OK",2020-01-26,0,NA
"2242","OK",2020-02-02,0,NA
"2243","OK",2020-02-09,0.142857142857143,NA
"2244","OK",2020-02-16,0.571428571428571,1.38629436111989
"2245","OK",2020-02-23,1.14285714285714,0.693147180559945
"2246","OK",2020-03-01,4.28571428571429,1.32175583998232
"2247","OK",2020-03-08,10.1428571428571,0.86148249537916
"2248","OK",2020-03-15,40.5714285714286,1.38629436111989
"2249","OK",2020-03-22,77.4285714285714,0.64629176327844
"2250","OK",2020-03-29,88.5714285714286,0.134453476599491
"2251","OK",2020-04-05,85.7142857142857,-0.032789822822991
"2252","OK",2020-04-12,90.5714285714286,0.0551192992210795
"2253","OK",2020-04-19,82.2857142857143,-0.0959412937413345
"2254","OK",2020-04-26,90.5714285714286,0.0959412937413347
"2255","OK",2020-05-03,105.142857142857,0.14918116429165
"2256","OK",2020-05-10,91.8571428571429,-0.135085394491257
"2257","OK",2020-05-17,117.571428571429,0.24681147643945
"2258","OK",2020-05-24,82.5714285714286,-0.353382332004692
"2259","OK",2020-05-31,100.142857142857,0.192934018362213
"2260","OK",2020-06-07,177,0.569551994594552
"2261","OK",2020-06-14,326.857142857143,0.613373470870546
"2262","OK",2020-06-21,470.857142857143,0.365031538529674
