"","EndofWeek","Cases","LogRatio"
"1",2020-01-26,1,NA
"2",2020-02-02,0.428571428571429,-0.847297860387204
"3",2020-02-09,0.571428571428571,0.287682072451781
"4",2020-02-16,0.857142857142857,0.405465108108164
"5",2020-02-23,1.42857142857143,0.510825623765991
"6",2020-03-01,6.71428571428571,1.54756250871601
"7",2020-03-08,67,2.30045516673622
"8",2020-03-15,481.857142857143,1.97295506661537
"9",2020-03-22,4336.14285714286,2.19709280332845
"10",2020-03-29,15334.2857142857,1.26310600734072
"11",2020-04-05,26960.2857142857,0.564273666005476
"12",2020-04-12,31749.1428571429,0.163500844650018
"13",2020-04-19,27136.7142857143,-0.156978146646447
"14",2020-04-26,30035.1428571429,0.101480542944077
"15",2020-05-03,27431.7142857143,-0.0906683249048608
"16",2020-05-10,24387.4285714286,-0.117632022697622
"17",2020-05-17,22045.1428571429,-0.100975478003672
"18",2020-05-24,22304.1428571429,0.0116801405182882
"19",2020-05-31,21378.5714285714,-0.0423833543152317
"20",2020-06-07,21497.4285714286,0.00554424140850962
"21",2020-06-14,21057.8571428571,-0.0206595752247178
"22",2020-06-21,27299.8571428571,0.25960771788766
"23",2020-06-28,38684.1428571429,0.348548301458882
"24",2020-07-05,48781.8571428571,0.231928693098622
"25",2020-07-12,58742.8571428571,0.185811101213291
"26",2020-07-19,66250.8571428571,0.120278837702385
"27",2020-07-26,65769.2857142857,-0.00729545589126465
"28",2020-08-02,59773.8571428571,-0.0955845530516349
"29",2020-08-09,52907.5714285714,-0.122021938028427
"30",2020-08-16,50952.2857142857,-0.0376568352447974
"31",2020-08-23,42350.7142857143,-0.184904333365441
"32",2020-08-30,41406.4285714286,-0.0225491389267021
"33",2020-09-06,41322.5714285714,-0.00202727390823278
"34",2020-09-13,34378.1428571429,-0.183987893992701
"35",2020-09-20,39977.7142857143,0.150901175616214
"36",2020-09-27,43264.7142857143,0.0790152342215463
"37",2020-10-04,43001.7142857143,-0.00609740820806191
"38",2020-10-11,49615.7142857143,0.143067621821909
"39",2020-10-18,55397,0.110217836832004
"40",2020-10-25,69158.2857142857,0.221872432602611
"41",2020-11-01,91565.5714285714,0.280657469996114
"42",2020-11-08,111771.428571429,0.199400626404132
"43",2020-11-15,151196,0.302121038703743
"44",2020-11-22,171613.857142857,0.126669928005263
"45",2020-11-29,161797.142857143,-0.0589035903907237
"46",2020-12-06,197403.714285714,0.198907596875838
"47",2020-12-13,214053,0.0809727050502838
"48",2020-12-20,217215.428571429,0.0146659715657282
"49",2020-12-27,182499.428571429,-0.174142577573243
"50",2021-01-03,215777.571428571,0.167501073308157
"51",2021-01-10,245212.857142857,0.127878522806791
"52",2021-01-17,216316.285714286,-0.125385015639615
"53",2021-01-24,167853.428571429,-0.253650472758966
"54",2021-01-31,144742.714285714,-0.148133367518801
"55",2021-02-07,116565.285714286,-0.216506273657875
"56",2021-02-14,88673.2857142857,-0.27349284020153
"57",2021-02-21,63592.2857142857,-0.332466499051496
"58",2021-02-28,66509.1428571429,0.0448472555961229
"59",2021-03-07,56750.5714285714,-0.158673699248226
"60",2021-03-14,52402.7142857143,-0.0797073362055968
"61",2021-03-21,53379.7142857143,0.0184724021714492
"62",2021-03-28,60643.8571428571,0.127587555045753
"63",2021-04-04,62689.7142857143,0.0331790411535917
"64",2021-04-11,65797.6666666667,0.0483869890076644
